*,John1,1,True,10.0,Sales
*,John2,2,False,11.0,Marketing
*,John3,3,True,12.0,Sales
*,John4,4,False,13.0,Marketing
*,John5,5,True,14.0,Sales
*,John6,6,False,15.0,Marketing
*,John7,7,True,16.0,Sales
*,John8,8,False,17.0,Marketing
*,John9,9,True,18.0,Sales
*,John10,10,False,19.0,Marketing
*,John11,11,True,20.0,Sales
*,John12,12,False,21.0,Marketing
*,John13,13,True,22.0,Sales
*,John14,14,False,23.0,Marketing
*,John15,15,True,24.0,Sales
*,John16,16,False,25.0,Marketing
*,John17,17,True,26.0,Sales
*,John18,18,False,27.0,Marketing
*,John19,19,True,28.0,Sales
*,John20,20,False,29.0,Marketing
*,John21,21,True,30.0,Sales
*,John22,22,False,31.0,Marketing
*,John23,23,True,32.0,Sales
*,John24,24,False,33.0,Marketing
*,John25,25,True,34.0,Sales
*,John26,26,False,35.0,Marketing
*,John27,27,True,36.0,Sales
*,John28,28,False,37.0,Marketing
*,John29,29,True,38.0,Sales
*,John30,30,False,39.0,Marketing
*,John31,31,True,40.0,Sales
*,John32,32,False,41.0,Marketing
*,John33,33,True,42.0,Sales
*,John34,34,False,43.0,Marketing
*,John35,35,True,44.0,Sales
*,John36,36,False,45.0,Marketing
*,John37,37,True,46.0,Sales
*,John38,38,False,47.0,Marketing
*,John39,39,True,48.0,Sales
*,John40,40,False,49.0,Marketing
*,John41,41,True,50.0,Sales
*,John42,42,False,51.0,Marketing
*,John43,43,True,52.0,Sales
*,John44,44,False,53.0,Marketing
*,John45,45,True,54.0,Sales
*,John46,46,False,55.0,Marketing
*,John47,47,True,56.0,Sales
*,John48,48,False,57.0,Marketing
*,John49,49,True,58.0,Sales
*,John50,50,False,59.0,Marketing
*,John51,51,True,60.0,Sales
*,John52,52,False,61.0,Marketing
*,John53,53,True,62.0,Sales
*,John54,54,False,63.0,Marketing
*,John55,55,True,64.0,Sales
*,John56,56,False,65.0,Marketing
*,John57,57,True,66.0,Sales
*,John58,58,False,67.0,Marketing
*,John59,59,True,68.0,Sales
*,John60,60,False,69.0,Marketing
*,John61,61,True,70.0,Sales
*,John62,62,False,71.0,Marketing
*,John63,63,True,72.0,Sales
*,John64,64,False,73.0,Marketing
*,John65,65,True,74.0,Sales
*,John66,66,False,75.0,Marketing
*,John67,67,True,76.0,Sales
*,John68,68,False,77.0,Marketing
*,John69,69,True,78.0,Sales
*,John70,70,False,79.0,Marketing
